dt,statusN,statusS,tempC,windspeedMiles,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustMiles,feelsLikeC
2015-06-01 07:00:00,39.79701400833925,40.280474080429286,31.0,5.0,0.0,69.0,10.0,1010.0,15.0,38.0,25.0,31.0,6.0,38.0
2015-06-01 07:15:00,39.78066694684734,40.281915265046095,31.5,5.0,0.0,67.5,10.0,1010.0,15.25,38.5,25.0,31.5,6.0,38.5
2015-06-01 07:30:00,39.76552217987345,40.282260545933106,32.0,5.0,0.0,66.0,10.0,1010.0,15.5,39.0,25.0,32.0,6.0,39.0
2015-06-01 07:45:00,39.75155498212344,40.281434070194564,32.5,5.0,0.0,64.5,10.0,1010.0,15.75,39.5,25.0,32.5,6.0,39.5
2015-06-01 08:00:00,39.73874062830302,40.27935998493465,33.0,5.0,0.0,63.0,10.0,1010.0,16.0,40.0,25.0,33.0,6.0,40.0
2015-06-01 08:15:00,39.72705439311794,40.27596243725761,33.25,5.0,0.0,61.75,10.0,1010.0,16.5,40.5,25.0,33.25,6.0,40.5
2015-06-01 08:30:00,39.716471551274026,40.271165574267656,33.5,5.0,0.0,60.5,10.0,1010.0,17.0,41.0,25.0,33.5,6.0,41.0
2015-06-01 08:45:00,39.706967377476985,40.26489354306899,33.75,5.0,0.0,59.25,10.0,1010.0,17.5,41.5,25.0,33.75,6.0,41.5
2015-06-01 09:00:00,39.69851714643265,40.25707049076584,34.0,5.0,0.0,58.0,10.0,1010.0,18.0,42.0,25.0,34.0,6.0,42.0
2015-06-01 09:15:00,39.69109613284677,40.247620564462416,34.25,5.0,0.0,56.75,10.0,1010.0,18.75,42.25,24.75,34.25,6.0,42.25
2015-06-01 09:30:00,39.684679611425096,40.236467911262935,34.5,5.0,0.0,55.5,10.0,1010.0,19.5,42.5,24.5,34.5,6.0,42.5
2015-06-01 09:45:00,39.67924285687343,40.22353667827164,34.75,5.0,0.0,54.25,10.0,1010.0,20.25,42.75,24.25,34.75,6.0,42.75
2015-06-01 10:00:00,39.67476114389751,40.20875101259268,35.0,5.0,0.0,53.0,10.0,1010.0,21.0,43.0,24.0,35.0,6.0,43.0
2015-06-01 16:00:00,39.78942674020768,39.406049587661634,37.0,7.0,0.0,46.0,10.0,1008.0,22.0,44.0,23.0,37.0,8.0,44.0
2015-06-01 16:15:00,39.80078534600124,39.38122709565053,36.75,7.0,0.0,47.0,10.0,1008.25,21.5,43.75,23.25,36.75,8.0,43.75
2015-06-01 16:30:00,39.8124561357206,39.36019068912873,36.5,7.0,0.0,48.0,10.0,1008.5,21.0,43.5,23.5,36.5,8.0,43.5
2015-06-01 16:45:00,39.824414384071524,39.3433123206985,36.25,7.0,0.0,49.0,10.0,1008.75,20.5,43.25,23.75,36.25,8.0,43.25
2015-06-01 17:00:00,39.83663536575981,39.33096394296215,36.0,7.0,0.0,50.0,10.0,1009.0,20.0,43.0,24.0,36.0,8.0,43.0
2015-06-01 17:15:00,39.84909435549118,39.32351750852197,36.0,7.0,0.0,51.25,10.0,1009.0,19.5,42.75,24.0,36.0,8.25,42.75
2015-06-01 17:30:00,39.86176662797143,39.32134496998025,36.0,7.0,0.0,52.5,10.0,1009.0,19.0,42.5,24.0,36.0,8.5,42.5
2015-06-01 17:45:00,39.87462745790634,39.32481827993928,36.0,7.0,0.0,53.75,10.0,1009.0,18.5,42.25,24.0,36.0,8.75,42.25
2015-06-01 18:00:00,39.88765212000165,39.334309391001355,36.0,7.0,0.0,55.0,10.0,1009.0,18.0,42.0,24.0,36.0,9.0,42.0
2015-06-01 18:15:00,39.90081588896319,39.35019025576877,35.5,7.0,0.0,56.5,10.0,1009.0,17.5,41.5,24.0,35.5,9.0,41.5
2015-06-01 18:30:00,39.91409403949665,39.37283282684381,35.0,7.0,0.0,58.0,10.0,1009.0,17.0,41.0,24.0,35.0,9.0,41.0
2015-06-01 18:45:00,39.92746184630787,39.40260905682877,34.5,7.0,0.0,59.5,10.0,1009.0,16.5,40.5,24.0,34.5,9.0,40.5
2015-06-01 19:00:00,39.940894584102566,39.43989089832596,34.0,7.0,0.0,61.0,10.0,1009.0,16.0,40.0,24.0,34.0,9.0,40.0
2015-06-02 07:00:00,40.17740906794934,22.44083807812563,31.0,5.0,0.0,70.0,10.0,1011.0,18.0,37.0,24.0,31.0,6.0,37.0
2015-06-02 07:15:00,40.16373493850456,19.96437935206782,31.25,5.0,0.0,68.5,10.0,1011.0,19.0,37.5,24.0,31.25,6.25,37.5
2015-06-02 07:30:00,40.1488894753318,18.028077099729444,31.5,5.0,0.0,67.0,10.0,1011.0,20.0,38.0,24.0,31.5,6.5,38.0
2015-06-02 07:45:00,40.13284795313685,16.616289568742573,31.75,5.0,0.0,65.5,10.0,1011.0,21.0,38.5,24.0,31.75,6.75,38.5
2015-06-02 08:00:00,40.11558564662546,15.651971940013292,32.0,5.0,0.0,64.0,10.0,1011.0,22.0,39.0,24.0,32.0,7.0,39.0
2015-06-02 08:15:00,40.09707783050341,15.05807939444765,32.5,5.25,0.0,62.25,10.0,1011.0,23.0,39.5,24.0,32.5,7.0,39.5
2015-06-02 08:30:00,40.077299779476476,14.757567112951712,33.0,5.5,0.0,60.5,10.0,1011.0,24.0,40.0,24.0,33.0,7.0,40.0
2015-06-02 08:45:00,40.056226768250426,14.673390276431537,33.5,5.75,0.0,58.75,10.0,1011.0,25.0,40.5,24.0,33.5,7.0,40.5
2015-06-02 09:00:00,40.03383407153101,14.7285040657932,34.0,6.0,0.0,57.0,10.0,1011.0,26.0,41.0,24.0,34.0,7.0,41.0
2015-06-02 09:15:00,40.01009696402405,14.845863661942744,34.25,6.25,0.0,56.25,10.0,1011.0,26.25,41.25,24.0,34.25,7.25,41.25
2015-06-02 09:30:00,39.98499072043525,14.961410976081504,34.5,6.5,0.0,55.5,10.0,1011.0,26.5,41.5,24.0,34.5,7.5,41.5
2015-06-02 09:45:00,39.95849061547044,15.063034840591795,34.75,6.75,0.0,54.75,10.0,1011.0,26.75,41.75,24.0,34.75,7.75,41.75
2015-06-02 10:00:00,39.93057192383535,15.151610818151214,35.0,7.0,0.0,54.0,10.0,1011.0,27.0,42.0,24.0,35.0,8.0,42.0
2015-06-02 16:00:00,40.66330806654655,15.493421195452182,36.0,9.0,0.1,51.0,10.0,1009.0,21.0,42.0,24.0,36.0,10.0,42.0
2015-06-02 16:15:00,41.14595303458408,15.491995472502445,35.75,9.0,0.125,52.0,10.0,1009.0,20.5,41.75,24.0,35.75,10.25,41.75
2015-06-02 16:30:00,41.621889848803185,15.490643234820736,35.5,9.0,0.15000000000000002,53.0,10.0,1009.0,20.0,41.5,24.0,35.5,10.5,41.5
2015-06-02 16:45:00,42.03737584815188,15.48936338532115,35.25,9.0,0.17500000000000002,54.0,10.0,1009.0,19.5,41.25,24.0,35.25,10.75,41.25
2015-06-02 17:00:00,42.338668371578066,15.488154826917784,35.0,9.0,0.2,55.0,10.0,1009.0,19.0,41.0,24.0,35.0,11.0,41.0
2015-06-02 17:15:00,42.472024758029725,15.487016462524764,35.0,9.0,0.2,56.0,10.0,1009.25,18.25,40.75,24.0,35.0,11.0,40.75
2015-06-02 17:30:00,42.38370234645485,15.485947195056172,35.0,9.0,0.2,57.0,10.0,1009.5,17.5,40.5,24.0,35.0,11.0,40.5
2015-06-02 17:45:00,42.01995847580139,15.484945927426127,35.0,9.0,0.2,58.0,10.0,1009.75,16.75,40.25,24.0,35.0,11.0,40.25
2015-06-02 18:00:00,41.32705048501729,15.484011562548721,35.0,9.0,0.2,59.0,10.0,1010.0,16.0,40.0,24.0,35.0,11.0,40.0
2015-06-02 18:15:00,40.26363779409593,15.483143003338066,34.75,8.75,0.225,60.25,9.75,1010.0,16.0,39.5,24.0,34.75,10.75,39.5
2015-06-02 18:30:00,38.83798814721217,15.482339152708258,34.5,8.5,0.25,61.5,9.5,1010.0,16.0,39.0,24.0,34.5,10.5,39.0
2015-06-02 18:45:00,37.07077136958625,15.48159891357341,34.25,8.25,0.275,62.75,9.25,1010.0,16.0,38.5,24.0,34.25,10.25,38.5
2015-06-02 19:00:00,34.98265728643846,15.480921188847626,34.0,8.0,0.3,64.0,9.0,1010.0,16.0,38.0,24.0,34.0,10.0,38.0
2015-06-03 07:00:00,15.339958325134365,15.500404463495293,33.0,2.0,0.0,68.0,10.0,1011.0,5.0,41.0,26.0,33.0,3.0,41.0
2015-06-03 07:15:00,15.359649965798859,15.501446014590412,33.5,2.0,0.0,66.0,10.0,1011.0,5.25,41.75,25.75,33.5,2.75,41.75
2015-06-03 07:30:00,15.378550722584565,15.502495225799775,34.0,2.0,0.0,64.0,10.0,1011.0,5.5,42.5,25.5,34.0,2.5,42.5
2015-06-03 07:45:00,15.396673756561976,15.50355100003748,34.5,2.0,0.0,62.0,10.0,1011.0,5.75,43.25,25.25,34.5,2.25,43.25
2015-06-03 08:00:00,15.414032228801586,15.504612240217641,35.0,2.0,0.0,60.0,10.0,1011.0,6.0,44.0,25.0,35.0,2.0,44.0
2015-06-03 08:15:00,15.43063930037389,15.50567784925435,35.5,1.75,0.0,58.25,10.0,1011.0,6.25,44.75,25.0,35.5,2.0,44.75
2015-06-03 08:30:00,15.446508132349393,15.506746730061725,36.0,1.5,0.0,56.5,10.0,1011.0,6.5,45.5,25.0,36.0,2.0,45.5
2015-06-03 08:45:00,15.461651885798586,15.507817785553849,36.5,1.25,0.0,54.75,10.0,1011.0,6.75,46.25,25.0,36.5,2.0,46.25
2015-06-03 09:00:00,15.476083721791966,15.50888991864485,37.0,1.0,0.0,53.0,10.0,1011.0,7.0,47.0,25.0,37.0,2.0,47.0
2015-06-03 09:15:00,15.48981680140003,15.509962032248822,37.25,1.0,0.0,51.75,10.0,1011.0,7.75,47.25,25.0,37.25,2.0,47.25
2015-06-03 09:30:00,15.502864285693278,15.51103302927986,37.5,1.0,0.0,50.5,10.0,1011.0,8.5,47.5,25.0,37.5,2.0,47.5
2015-06-03 09:45:00,15.515239335742194,15.51210181265208,37.75,1.0,0.0,49.25,10.0,1011.0,9.25,47.75,25.0,37.75,2.0,47.75
2015-06-03 10:00:00,15.526955112617294,15.513167285279572,38.0,1.0,0.0,48.0,10.0,1011.0,10.0,48.0,25.0,38.0,2.0,48.0
2015-06-03 16:00:00,15.64457058876293,15.534892981593206,38.0,4.0,0.4,47.0,9.0,1009.0,40.0,46.0,24.0,38.0,5.0,46.0
2015-06-03 16:15:00,15.644081884203766,15.535519132686408,37.75,4.0,0.45,48.25,9.0,1009.0,41.0,45.5,24.0,37.75,5.0,45.5
2015-06-03 16:30:00,15.643276094303687,15.536113448801592,37.5,4.0,0.5,49.5,9.0,1009.0,42.0,45.0,24.0,37.5,5.0,45.0
2015-06-03 16:45:00,15.642166380133196,15.53667483285285,37.25,4.0,0.55,50.75,9.0,1009.0,43.0,44.5,24.0,37.25,5.0,44.5
2015-06-03 17:00:00,15.640765902762778,15.537202187754298,37.0,4.0,0.6,52.0,9.0,1009.0,44.0,44.0,24.0,37.0,5.0,44.0
2015-06-03 17:15:00,15.639087823262935,15.537694416420027,36.75,4.0,0.625,53.25,9.0,1009.0,44.75,43.75,24.25,36.75,5.25,43.75
2015-06-03 17:30:00,15.637145302704164,15.538150421764154,36.5,4.0,0.6499999999999999,54.5,9.0,1009.0,45.5,43.5,24.5,36.5,5.5,43.5
2015-06-03 17:45:00,15.63495150215696,15.538569106700768,36.25,4.0,0.6749999999999999,55.75,9.0,1009.0,46.25,43.25,24.75,36.25,5.75,43.25
2015-06-03 18:00:00,15.63251958269183,15.538949374143984,36.0,4.0,0.7,57.0,9.0,1009.0,47.0,43.0,25.0,36.0,6.0,43.0
2015-06-03 18:15:00,15.62986270537925,15.539290127007904,35.5,4.0,0.75,58.5,9.25,1009.25,47.5,42.25,24.75,35.5,6.0,42.25
2015-06-03 18:30:00,15.626994031289735,15.539590268206627,35.0,4.0,0.8,60.0,9.5,1009.5,48.0,41.5,24.5,35.0,6.0,41.5
2015-06-03 18:45:00,15.623926721493769,15.539848700654266,34.5,4.0,0.85,61.5,9.75,1009.75,48.5,40.75,24.25,34.5,6.0,40.75
2015-06-03 19:00:00,15.620673937061856,15.540064327264908,34.0,4.0,0.9,63.0,10.0,1010.0,49.0,40.0,24.0,34.0,6.0,40.0
2015-06-04 07:00:00,15.45057495226416,15.491222054677667,32.0,2.0,0.0,68.0,10.0,1010.0,6.0,40.0,25.0,32.0,3.0,40.0
2015-06-04 07:15:00,15.448596141067913,15.489350550463982,32.75,2.0,0.0,66.0,10.0,1010.0,5.75,40.75,25.0,32.75,2.75,40.75
2015-06-04 07:30:00,15.446692813941315,15.48747474934101,33.5,2.0,0.0,64.0,10.0,1010.0,5.5,41.5,25.0,33.5,2.5,41.5
2015-06-04 07:45:00,15.444864895460887,15.485596666330268,34.25,2.0,0.0,62.0,10.0,1010.0,5.25,42.25,25.0,34.25,2.25,42.25
2015-06-04 08:00:00,15.443112310203151,15.483718316453281,35.0,2.0,0.0,60.0,10.0,1010.0,5.0,43.0,25.0,35.0,2.0,43.0
2015-06-04 08:15:00,15.441434982744632,15.481841714731564,35.5,2.0,0.0,58.0,10.0,1010.0,5.0,43.75,25.0,35.5,2.0,43.75
2015-06-04 08:30:00,15.439832837661864,15.479968876186636,36.0,2.0,0.0,56.0,10.0,1010.0,5.0,44.5,25.0,36.0,2.0,44.5
2015-06-04 08:45:00,15.438305799531346,15.478101815840027,36.5,2.0,0.0,54.0,10.0,1010.0,5.0,45.25,25.0,36.5,2.0,45.25
2015-06-04 09:00:00,15.436853792929613,15.476242548713255,37.0,2.0,0.0,52.0,10.0,1010.0,5.0,46.0,25.0,37.0,2.0,46.0
2015-06-04 09:15:00,15.435476742433186,15.47439308982784,37.25,2.0,0.0,51.0,10.0,1010.0,5.5,46.25,25.0,37.25,2.25,46.25
2015-06-04 09:30:00,15.434174572618588,15.472555454205295,37.5,2.0,0.0,50.0,10.0,1010.0,6.0,46.5,25.0,37.5,2.5,46.5
2015-06-04 09:45:00,15.43294720806234,15.470731656867152,37.75,2.0,0.0,49.0,10.0,1010.0,6.5,46.75,25.0,37.75,2.75,46.75
2015-06-04 10:00:00,15.431794573340962,15.468923712834926,38.0,2.0,0.0,48.0,10.0,1010.0,7.0,47.0,25.0,38.0,3.0,47.0
2015-06-04 16:00:00,15.426354189447437,15.435528103791018,37.0,6.0,0.1,47.0,9.0,1008.0,25.0,44.0,23.0,37.0,7.0,44.0
2015-06-04 16:15:00,15.427045287967589,15.434771374401002,36.75,6.25,0.125,48.0,9.0,1008.0,24.5,43.75,23.25,36.75,7.25,43.75
2015-06-04 16:30:00,15.4278091553122,15.434082888876445,36.5,6.5,0.15000000000000002,49.0,9.0,1008.0,24.0,43.5,23.5,36.5,7.5,43.5
2015-06-04 16:45:00,15.42864571605778,15.433464662238865,36.25,6.75,0.17500000000000002,50.0,9.0,1008.0,23.5,43.25,23.75,36.25,7.75,43.25
2015-06-04 17:00:00,15.429554894780855,15.43291870950979,36.0,7.0,0.2,51.0,9.0,1008.0,23.0,43.0,24.0,36.0,8.0,43.0
2015-06-04 17:15:00,15.430536616057944,15.432447045710735,35.75,7.0,0.2,52.25,9.0,1008.0,22.5,42.75,24.0,35.75,8.25,42.75
2015-06-04 17:30:00,15.431590804465575,15.432051685863216,35.5,7.0,0.2,53.5,9.0,1008.0,22.0,42.5,24.0,35.5,8.5,42.5
2015-06-04 17:45:00,15.432717384580267,15.431734644988769,35.25,7.0,0.2,54.75,9.0,1008.0,21.5,42.25,24.0,35.25,8.75,42.25
2015-06-04 18:00:00,15.43391628097855,15.431497938108896,35.0,7.0,0.2,56.0,9.0,1008.0,21.0,42.0,24.0,35.0,9.0,42.0
2015-06-04 18:15:00,15.435187418236932,15.431343580245136,34.75,7.0,0.2,57.25,9.0,1008.0,21.0,41.25,24.0,34.75,9.0,41.25
2015-06-04 18:30:00,15.436530720931945,15.431273586418994,34.5,7.0,0.2,58.5,9.0,1008.0,21.0,40.5,24.0,34.5,9.0,40.5
2015-06-04 18:45:00,15.437946113640107,15.431289971652,34.25,7.0,0.2,59.75,9.0,1008.0,21.0,39.75,24.0,34.25,9.0,39.75
2015-06-04 19:00:00,15.439433520937946,15.43139475096567,34.0,7.0,0.2,61.0,9.0,1008.0,21.0,39.0,24.0,34.0,9.0,39.0
2015-06-05 07:00:00,15.594039928524785,15.579870018692922,32.0,4.0,0.0,67.0,10.0,1009.0,5.0,39.0,25.0,32.0,4.0,39.0
2015-06-05 07:15:00,15.598963656956315,15.586774509322208,32.5,4.0,0.0,65.25,10.0,1009.0,5.25,39.75,25.0,32.5,4.0,39.75
2015-06-05 07:30:00,15.603955628803625,15.593868145108194,33.0,4.0,0.0,63.5,10.0,1009.0,5.5,40.5,25.0,33.0,4.0,40.5
2015-06-05 07:45:00,15.609015768643243,15.601152941072408,33.5,4.0,0.0,61.75,10.0,1009.0,5.75,41.25,25.0,33.5,4.0,41.25
2015-06-05 08:00:00,15.614144001051693,15.608630912236373,34.0,4.0,0.0,60.0,10.0,1009.0,6.0,42.0,25.0,34.0,4.0,42.0
2015-06-05 08:15:00,15.61934025060549,15.616304073621599,34.5,4.0,0.0,58.25,10.0,1009.0,6.25,42.75,25.0,34.5,4.0,42.75
2015-06-05 08:30:00,15.62460444188116,15.624174440249615,35.0,4.0,0.0,56.5,10.0,1009.0,6.5,43.5,25.0,35.0,4.0,43.5
2015-06-05 08:45:00,15.62993649945523,15.632244027141947,35.5,4.0,0.0,54.75,10.0,1009.0,6.75,44.25,25.0,35.5,4.0,44.25
2015-06-05 09:00:00,15.635336347904214,15.640514849320102,36.0,4.0,0.0,53.0,10.0,1009.0,7.0,45.0,25.0,36.0,4.0,45.0
2015-06-05 09:15:00,15.64080391180464,15.648988921805616,36.25,4.0,0.0,52.25,10.0,1008.75,8.5,45.0,24.75,36.25,4.25,45.0
2015-06-05 09:30:00,15.646339115733024,15.657668259619994,36.5,4.0,0.0,51.5,10.0,1008.5,10.0,45.0,24.5,36.5,4.5,45.0
2015-06-05 09:45:00,15.6519418842659,15.666554877784767,36.75,4.0,0.0,50.75,10.0,1008.25,11.5,45.0,24.25,36.75,4.75,45.0
2015-06-05 10:00:00,15.657612141979776,15.675650791321454,37.0,4.0,0.0,50.0,10.0,1008.0,13.0,45.0,24.0,37.0,5.0,45.0
2015-06-05 16:00:00,15.371308102946696,15.4181340242805,36.0,6.0,0.5,52.0,9.0,1007.0,35.0,42.0,24.0,36.0,8.0,42.0
2015-06-05 16:15:00,15.320999583035489,15.362264535318152,35.75,6.0,0.5,53.0,9.0,1007.0,33.25,41.75,24.0,35.75,8.0,41.75
2015-06-05 16:30:00,15.265955800524187,15.300755621616151,35.5,6.0,0.5,54.0,9.0,1007.0,31.5,41.5,24.0,35.5,8.0,41.5
2015-06-05 16:45:00,15.205984648358488,15.23337325376917,35.25,6.0,0.5,55.0,9.0,1007.0,29.75,41.25,24.0,35.25,8.0,41.25
2015-06-05 17:00:00,15.140894019484081,15.15988340237188,35.0,6.0,0.5,56.0,9.0,1007.0,28.0,41.0,24.0,35.0,8.0,41.0
2015-06-05 17:15:00,15.070491806846665,15.080052038018966,34.75,6.0,0.5,57.0,9.0,1007.0,26.5,40.75,24.0,34.75,8.0,40.75
2015-06-05 17:30:00,14.994585903391929,14.993645131305106,34.5,6.0,0.5,58.0,9.0,1007.0,25.0,40.5,24.0,34.5,8.0,40.5
2015-06-05 17:45:00,14.912984202065573,14.900428652824964,34.25,6.0,0.5,59.0,9.0,1007.0,23.5,40.25,24.0,34.25,8.0,40.25
2015-06-05 18:00:00,14.825494595813296,14.800168573173233,34.0,6.0,0.5,60.0,9.0,1007.0,22.0,40.0,24.0,34.0,8.0,40.0
2015-06-05 18:15:00,14.731924977580785,14.692630862944574,33.75,5.75,0.5,61.25,9.0,1007.25,21.5,39.5,24.0,33.75,7.75,39.5
2015-06-05 18:30:00,14.63208324031374,14.577581492733678,33.5,5.5,0.5,62.5,9.0,1007.5,21.0,39.0,24.0,33.5,7.5,39.0
2015-06-05 18:45:00,14.52577727695785,14.454786433135205,33.25,5.25,0.5,63.75,9.0,1007.75,20.5,38.5,24.0,33.25,7.25,38.5
2015-06-05 19:00:00,14.422947584108092,14.333421257772384,33.0,5.0,0.5,65.0,9.0,1008.0,20.0,38.0,24.0,33.0,7.0,38.0
2015-06-08 07:00:00,39.92912468390737,15.26242531835485,32.0,2.0,0.0,70.0,10.0,1009.0,10.0,40.0,26.0,32.0,3.0,40.0
2015-06-08 07:15:00,39.9293445730806,15.270969790217512,32.75,2.0,0.0,68.0,10.0,1009.0,10.0,41.0,26.0,32.75,2.75,41.0
2015-06-08 07:30:00,39.929588533000214,15.280360800005619,33.5,2.0,0.0,66.0,10.0,1009.0,10.0,42.0,26.0,33.5,2.5,42.0
2015-06-08 07:45:00,39.92985641644628,15.290595224579622,34.25,2.0,0.0,64.0,10.0,1009.0,10.0,43.0,26.0,34.25,2.25,43.0
2015-06-08 08:00:00,39.93014807619882,15.301669940799954,35.0,2.0,0.0,62.0,10.0,1009.0,10.0,44.0,26.0,35.0,2.0,44.0
2015-06-08 08:15:00,39.93046336503791,15.313581825527056,35.5,1.75,0.0,60.0,10.0,1009.25,10.25,44.75,26.0,35.5,2.0,44.75
2015-06-08 08:30:00,39.93080213574361,15.32632775562136,36.0,1.5,0.0,58.0,10.0,1009.5,10.5,45.5,26.0,36.0,2.0,45.5
2015-06-08 08:45:00,39.93116424109596,15.339904607943312,36.5,1.25,0.0,56.0,10.0,1009.75,10.75,46.25,26.0,36.5,2.0,46.25
2015-06-08 09:00:00,39.93154953387502,15.354309259353347,37.0,1.0,0.0,54.0,10.0,1010.0,11.0,47.0,26.0,37.0,2.0,47.0
2015-06-08 09:15:00,39.931957866860856,15.369538586711904,37.25,1.25,0.0,53.25,10.0,1009.75,12.5,47.25,25.75,37.25,2.0,47.25
2015-06-08 09:30:00,39.93238909283351,15.385589466879413,37.5,1.5,0.0,52.5,10.0,1009.5,14.0,47.5,25.5,37.5,2.0,47.5
2015-06-08 09:45:00,39.93284306457306,15.402458776716326,37.75,1.75,0.0,51.75,10.0,1009.25,15.5,47.75,25.25,37.75,2.0,47.75
2015-06-08 10:00:00,39.93331963485954,15.420143393083064,38.0,2.0,0.0,51.0,10.0,1009.0,17.0,48.0,25.0,38.0,2.0,48.0
2015-06-08 16:00:00,39.95115411395935,16.05503705558025,36.0,5.0,0.6,52.0,9.0,1008.0,35.0,45.0,25.0,36.0,7.0,45.0
2015-06-08 16:15:00,39.95214780143718,16.06729955686593,35.75,5.25,0.625,53.25,9.0,1008.0,34.0,44.5,25.0,35.75,7.25,44.5
2015-06-08 16:30:00,39.953160259743406,16.06810447880564,35.5,5.5,0.6499999999999999,54.5,9.0,1008.0,33.0,44.0,25.0,35.5,7.5,44.0
2015-06-08 16:45:00,39.954191341658046,16.055010361410375,35.25,5.75,0.6749999999999999,55.75,9.0,1008.0,32.0,43.5,25.0,35.25,7.75,43.5
2015-06-08 17:00:00,39.95524089996117,16.025575744691125,35.0,6.0,0.7,57.0,9.0,1008.0,31.0,43.0,25.0,35.0,8.0,43.0
2015-06-08 17:15:00,39.95630878743286,15.977359168658912,34.5,6.0,0.725,58.25,9.0,1008.0,30.0,42.5,25.0,34.5,8.0,42.5
2015-06-08 17:30:00,39.957394856853135,15.907919173324714,34.0,6.0,0.75,59.5,9.0,1008.0,29.0,42.0,25.0,34.0,8.0,42.0
2015-06-08 17:45:00,39.95849896100204,15.814814298699536,33.5,6.0,0.775,60.75,9.0,1008.0,28.0,41.5,25.0,33.5,8.0,41.5
2015-06-08 18:00:00,39.95962095265968,15.695603084794366,33.0,6.0,0.8,62.0,9.0,1008.0,27.0,41.0,25.0,33.0,8.0,41.0
2015-06-08 18:15:00,39.96076068460608,15.547844071620224,32.75,5.75,0.8500000000000001,63.0,9.0,1008.0,27.5,40.5,25.0,32.75,7.75,40.5
2015-06-08 18:30:00,39.96191800962129,15.369095799188091,32.5,5.5,0.9,64.0,9.0,1008.0,28.0,40.0,25.0,32.5,7.5,40.0
2015-06-08 18:45:00,39.96309278048537,15.156916807508974,32.25,5.25,0.95,65.0,9.0,1008.0,28.5,39.5,25.0,32.25,7.25,39.5
2015-06-08 19:00:00,39.964284849978384,14.908865636593877,32.0,5.0,1.0,66.0,9.0,1008.0,29.0,39.0,25.0,32.0,7.0,39.0
2015-06-09 07:00:00,40.03896186234857,41.527188173687094,32.0,3.0,0.0,73.0,10.0,1009.0,14.0,39.0,26.0,32.0,4.0,39.0
2015-06-09 07:15:00,40.04082122022694,40.81573028296412,32.25,3.0,0.0,71.5,10.0,1009.0,14.75,39.75,26.0,32.25,3.75,39.75
2015-06-09 07:30:00,40.04269051573699,39.78167337535106,32.5,3.0,0.0,70.0,10.0,1009.0,15.5,40.5,26.0,32.5,3.5,40.5
2015-06-09 07:45:00,40.044569601658814,38.38786996964393,32.75,3.0,0.0,68.5,10.0,1009.0,16.25,41.25,26.0,32.75,3.25,41.25
2015-06-09 08:00:00,40.04645833077242,36.59717258463871,33.0,3.0,0.0,67.0,10.0,1009.0,17.0,42.0,26.0,33.0,3.0,42.0
2015-06-09 08:15:00,40.04835655585791,34.395484385077914,33.5,2.75,0.0,65.25,10.0,1009.25,18.0,42.75,26.0,33.5,3.0,42.75
2015-06-09 08:30:00,40.05026412969531,31.860911119490012,34.0,2.5,0.0,63.5,10.0,1009.5,19.0,43.5,26.0,34.0,3.0,43.5
2015-06-09 08:45:00,40.05218090506469,29.094609182349966,34.5,2.25,0.0,61.75,10.0,1009.75,20.0,44.25,26.0,34.5,3.0,44.25
2015-06-09 09:00:00,40.05410673474609,26.21191573750113,35.0,2.0,0.0,60.0,10.0,1010.0,21.0,45.0,26.0,35.0,3.0,45.0
2015-06-09 09:15:00,40.05604147151959,23.384891026260433,35.25,2.25,0.1,59.5,10.0,1009.75,22.25,45.25,26.0,35.25,3.25,45.25
2015-06-09 09:30:00,40.057984968165215,20.787528423774127,35.5,2.5,0.2,59.0,10.0,1009.5,23.5,45.5,26.0,35.5,3.5,45.5
2015-06-09 09:45:00,40.059937077463054,18.544830763032127,35.75,2.75,0.30000000000000004,58.5,10.0,1009.25,24.75,45.75,26.0,35.75,3.75,45.75
2015-06-09 10:00:00,40.06189765219313,16.748683008532588,36.0,3.0,0.4,58.0,10.0,1009.0,26.0,46.0,26.0,36.0,4.0,46.0
2015-06-09 16:00:00,40.11110830353459,15.420119532622495,35.0,5.0,2.1,62.0,8.0,1008.0,28.0,45.0,26.0,35.0,8.0,45.0
2015-06-09 16:15:00,40.11323266758896,15.310030073738528,34.75,5.0,1.975,62.75,8.25,1008.0,27.75,44.5,26.0,34.75,7.75,44.5
2015-06-09 16:30:00,40.11536166935701,15.214819335695937,34.5,5.0,1.85,63.5,8.5,1008.0,27.5,44.0,26.0,34.5,7.5,44.0
2015-06-09 16:45:00,40.117492672831894,15.138845041632822,34.25,5.0,1.725,64.25,8.75,1008.0,27.25,43.5,26.0,34.25,7.25,43.5
2015-06-09 17:00:00,40.11961308685897,15.081953776509824,34.0,5.0,1.6,65.0,9.0,1008.0,27.0,43.0,26.0,34.0,7.0,43.0
2015-06-09 17:15:00,40.121707831496686,15.042864340743213,33.75,5.0,1.475,65.5,9.0,1008.0,27.0,42.75,26.0,33.75,7.0,42.75
2015-06-09 17:30:00,40.123761826803495,15.02029553474925,33.5,5.0,1.35,66.0,9.0,1008.0,27.0,42.5,26.0,33.5,7.0,42.5
2015-06-09 17:45:00,40.12575999283787,15.012966158944213,33.25,5.0,1.225,66.5,9.0,1008.0,27.0,42.25,26.0,33.25,7.0,42.25
